39 18060 63551
0 0     1.597070e+03 4.733700e+02
2 5047     -1.671000e+02 -1.637600e+02
11 5047     4.239500e+02 -3.316998e+01
2 5048     -2.681100e+02 -2.239001e+01
9 5048     -3.055500e+02 1.230000e+02
2 5049     -4.696700e+02 -1.940997e+01
11 5049     1.928400e+02 6.026001e+01
2 5050     -7.142999e+01 -1.390997e+01
11 5050     5.183199e+02 1.040000e+02
2 5051     -1.683300e+02 8.510010e+00
11 5051     4.225000e+02 9.653003e+01
2 5052     -2.524700e+02 1.381300e+02
11 5052     3.539500e+02 1.843600e+02
2 5053     -2.724400e+02 1.564700e+02
11 5053     3.386700e+02 1.957000e+02
2 5054     -2.036100e+02 2.050700e+02
11 5054     3.943199e+02 2.407200e+02
13 5054     -1.512240e+03 7.773700e+02
2 5055     5.273300e+02 2.263900e+02
11 5055     1.001030e+03 2.929900e+02
17 5055     -1.361780e+03 6.845701e+02
2 5056     -2.579300e+02 2.735300e+02
9 5056     -2.980500e+02 3.520400e+02
2 5057     -4.924800e+02 2.925300e+02
11 5057     1.747900e+02 2.861100e+02
2 5058     7.919200e+02 3.024200e+02
8 5058     9.807500e+02 5.325000e+02
17 5058     -9.146100e+02 7.847900e+02
29 5058     -7.616100e+02 2.654600e+02
2 5059     7.864900e+02 3.024700e+02
8 5059     9.727400e+02 5.317800e+02
29 5059     -7.665300e+02 2.659900e+02
2 5060     -3.410500e+02 3.888000e+02
9 5060     -3.677300e+02 4.340100e+02
3 5061     -9.047500e+02 1.722800e+02
9 5061     -3.186500e+02 1.489600e+02
20 5061     -4.013199e+02 -2.187900e+02
3 5062     -7.451900e+02 -2.935699e+02
9 5062     -2.664700e+02 -2.168994e+01
13 5062     -1.605630e+03 -2.690400e+02
20 5062     -3.751300e+02 -3.116100e+02
3 5063     -7.178000e+02 2.845200e+02
10 5063     -1.978500e+02 -3.808000e+02
12 5063     -8.123500e+02 -4.884301e+02
13 5063     -1.576670e+03 5.372900e+02
3 5064     -8.860800e+02 3.403900e+02
9 5064     -3.149800e+02 2.212500e+02
10 5064     -2.378199e+02 -3.823900e+02
18 5064     -4.701500e+02 2.173999e+01
24 5064     -3.103300e+02 -2.926001e+01
3 5065     -8.400500e+02 -3.595400e+02
10 5065     -2.259301e+02 -5.793400e+02
12 5065     -8.542900e+02 -7.129000e+02
20 5065     -3.920800e+02 -3.281500e+02
3 5066     -7.792100e+02 -2.287000e+02
11 5066     3.660400e+02 -5.194000e+01
3 5067     -4.449600e+02 -2.339100e+02
11 5067     4.669301e+02 -2.125000e+01
3 5068     -4.451900e+02 -2.123800e+02
11 5068     4.672400e+02 -1.115002e+01
3 5069     -3.057400e+02 -5.679999e+01
10 5069     -6.862000e+01 -4.354301e+02
11 5069     5.126700e+02 1.174900e+02
13 5069     -1.004580e+03 2.460300e+02
18 5069     -3.314301e+02 -7.290039e+00
20 5069     -2.808900e+02 -2.034399e+02
23 5069     -2.088000e+01 -2.544200e+02
31 5069     -1.119350e+03 1.892600e+02
38 5069     -4.143900e+02 4.689999e+01
3 5070     -6.747300e+02 -2.612600e+02
9 5070     -2.449800e+02 -2.270020e+00
13 5070     -1.528470e+03 -2.171000e+02
3 5071     -3.101000e+02 -8.712000e+01
10 5071     -6.985999e+01 -4.492600e+02
12 5071     -6.453500e+02 -5.473400e+02
13 5071     -1.014560e+03 1.846000e+02
3 5072     -4.395200e+02 2.421200e+02
10 5072     -1.183101e+02 -3.576000e+02
13 5072     -1.214760e+03 6.208800e+02
18 5072     -3.703300e+02 5.329004e+01
3 5073     6.203101e+02 -3.223700e+02
9 5073     1.752200e+02 -7.845996e+01
3 5074     -3.776000e+02 -1.327200e+02
9 5074     -1.396899e+02 1.072800e+02
13 5074     -1.133660e+03 5.894995e+01
18 5074     -3.557500e+02 -5.194995e+01
20 5074     -3.009600e+02 -2.423500e+02
3 5075     -2.951900e+02 -1.245700e+02
9 5075     -1.017200e+02 1.379199e+02
11 5075     5.177200e+02 7.635999e+01
13 5075     -9.899100e+02 1.186100e+02
18 5075     -3.286801e+02 -3.367004e+01
20 5075     -2.778400e+02 -2.263400e+02
31 5075     -1.112250e+03 1.570400e+02
38 5075     -4.090300e+02 -3.739990e+00
3 5076     -1.020670e+03 9.641998e+01
10 5076     -2.700900e+02 -4.560300e+02
18 5076     -4.982100e+02 -4.389001e+01
3 5077     -4.523900e+02 1.475500e+02
9 5077     -1.701899e+02 2.270400e+02
13 5077     -1.236680e+03 4.675200e+02
3 5078     -3.111100e+02 1.609400e+02
10 5078     -7.084998e+01 -3.240500e+02
11 5078     4.952600e+02 2.845900e+02
3 5079     -5.850000e+02 3.820701e+02
11 5079     4.221300e+02 2.311800e+02
12 5079     -7.676400e+02 -4.366500e+02
38 5079     -6.129100e+02 3.827200e+02
3 5080     2.903900e+02 3.545001e+01
11 5080     8.909100e+02 2.063400e+02
3 5081     -2.620000e+02 -2.678800e+02
9 5081     -8.191003e+01 5.796997e+01
11 5081     5.355400e+02 -1.330017e+00
38 5081     -3.868900e+02 -1.106800e+02
3 5082     -2.072700e+02 -2.445900e+02
9 5082     -5.430005e+01 1.774500e+02
3 5083     -2.072700e+02 -2.445900e+02
9 5083     -5.430005e+01 1.774500e+02
4 5084     -1.738600e+02 7.145701e+02
7 5084     -1.192980e+03 9.874700e+02
15 5084     5.444700e+02 6.220400e+02
4 5085     -1.911700e+02 6.229500e+02
7 5085     -1.212990e+03 8.523201e+02
21 5085     -2.445900e+02 -6.255900e+02
35 5085     -1.285999e+01 4.109100e+02
4 5086     9.155601e+02 4.793900e+02
5 5086     4.568000e+02 9.125500e+02
4 5087     1.031440e+03 3.655000e+02
5 5087     6.311300e+02 7.792900e+02
4 5088     1.119980e+03 3.559700e+02
5 5088     7.518700e+02 7.771200e+02
4 5089     1.123310e+03 3.981400e+02
5 5089     7.536599e+02 8.254200e+02
4 5090     1.087660e+03 4.252300e+02
5 5090     6.950200e+02 8.570400e+02
22 5090     -3.829200e+02 3.135901e+02
4 5091     -2.191400e+02 2.911799e+02
5 5091     -1.037700e+03 4.402000e+02
4 5092     1.012850e+03 4.399700e+02
5 5092     5.984200e+02 8.690699e+02
4 5093     4.369100e+02 5.210300e+02
10 5093     -9.168900e+02 -1.254800e+02
14 5093     1.812500e+02 3.695100e+02
19 5093     1.220470e+03 5.732200e+02
4 5094     -3.008300e+02 2.495400e+02
5 5094     -1.133670e+03 3.635601e+02
19 5094     -8.318005e+01 1.315901e+02
4 5095     1.172330e+03 3.392100e+02
5 5095     8.203301e+02 7.595601e+02
4 5096     1.196340e+03 3.444099e+02
5 5096     8.496201e+02 7.698300e+02
16 5096     6.446100e+02 3.672300e+02
22 5096     -2.927600e+02 2.335400e+02
4 5097     7.832800e+02 3.803201e+02
9 5097     -4.607200e+02 3.093700e+02
12 5097     -9.783900e+02 -4.230200e+02
16 5097     3.323400e+02 4.049500e+02
4 5098     -1.128800e+02 4.020601e+02
7 5098     -1.068540e+03 4.932300e+02
4 5099     1.089180e+03 4.031799e+02
5 5099     6.986200e+02 8.323101e+02
4 5100     9.453501e+02 4.655801e+02
5 5100     5.006200e+02 8.962200e+02
4 5101     -1.979800e+02 5.976100e+02
5 5101     -1.081860e+03 8.705601e+02
16 5101     -6.842000e+02 6.438101e+02
35 5101     -1.732001e+01 3.871300e+02
4 5102     -2.790300e+02 6.296400e+02
5 5102     -1.197870e+03 8.983199e+02
14 5102     -3.337000e+02 5.477700e+02
15 5102     4.267900e+02 5.254700e+02
16 5102     -7.856700e+02 6.816700e+02
19 5102     -3.664001e+01 8.294399e+02
34 5102     -8.803400e+02 6.643800e+02
35 5102     -8.481000e+01 4.120701e+02
4 5103     1.319140e+03 2.657500e+02
8 5103     3.294500e+02 -2.678998e+01
16 5103     7.210900e+02 2.916799e+02
21 5103     9.162000e+01 7.930800e+02
4 5104     1.308600e+03 2.800701e+02
5 5104     1.002630e+03 7.021100e+02
8 5104     3.094900e+02 1.302002e+01
21 5104     7.934998e+01 7.818199e+02
4 5105     1.317170e+03 2.907100e+02
5 5105     1.012020e+03 7.157600e+02
8 5105     3.250100e+02 3.281000e+01
21 5105     6.884998e+01 7.885200e+02
22 5105     -1.997700e+02 1.809600e+02
26 5105     1.775699e+02 1.219000e+02
4 5106     -3.388800e+02 3.598401e+02
5 5106     -1.210640e+03 5.085800e+02
4 5107     1.091930e+03 3.666899e+02
5 5107     7.101400e+02 7.877900e+02
4 5108     1.473550e+03 3.793301e+02
5 5108     1.159480e+03 8.811400e+02
4 5109     1.000860e+03 3.810300e+02
5 5109     5.869399e+02 7.940400e+02
4 5110     1.018230e+03 3.947600e+02
5 5110     6.082600e+02 8.139800e+02
4 5111     9.690300e+02 4.374000e+02
5 5111     5.412800e+02 8.583500e+02
4 5112     9.690300e+02 4.374000e+02
5 5112     5.408400e+02 8.580900e+02
4 5113     -2.857100e+02 5.866600e+02
5 5113     -1.198730e+03 8.367200e+02
7 5113     -1.369360e+03 7.998300e+02
14 5113     -3.394700e+02 5.105500e+02
15 5113     4.210500e+02 4.787200e+02
19 5113     -4.872998e+01 7.540800e+02
21 5113     -2.116200e+02 -7.218400e+02
36 5113     7.538400e+02 6.265900e+02
4 5114     -2.662800e+02 6.061400e+02
5 5114     -1.173510e+03 8.679000e+02
16 5114     -7.686700e+02 6.549500e+02
34 5114     -8.625500e+02 6.338400e+02
35 5114     -7.327002e+01 3.914900e+02
36 5114     7.772000e+02 6.504700e+02
4 5115     1.213190e+03 2.846300e+02
5 5115     8.828999e+02 6.965800e+02
16 5115     6.560601e+02 3.100500e+02
22 5115     -2.782800e+02 1.763301e+02
4 5116     1.196280e+03 3.090100e+02
5 5116     8.557000e+02 7.257100e+02
8 5116     8.015002e+01 1.103500e+02
4 5117     1.184490e+03 3.115200e+02
5 5117     8.404500e+02 7.277300e+02
8 5117     5.553003e+01 1.206800e+02
4 5118     9.876201e+02 3.540300e+02
5 5118     5.739000e+02 7.582600e+02
22 5118     -4.609000e+02 2.469600e+02
4 5119     9.876201e+02 3.540300e+02
5 5119     5.739000e+02 7.582600e+02
22 5119     -4.609000e+02 2.469600e+02
4 5120     1.052910e+03 3.582200e+02
5 5120     6.611801e+02 7.711100e+02
4 5121     1.052910e+03 3.582200e+02
5 5121     6.611801e+02 7.711100e+02
4 5122     1.013090e+03 3.593500e+02
9 5122     -2.260800e+02 2.809800e+02
13 5122     -1.436260e+03 6.878000e+02
20 5122     -3.483199e+02 -1.481700e+02
4 5123     -3.055100e+02 3.609099e+02
5 5123     -1.166910e+03 5.166100e+02
35 5123     -1.014700e+02 1.742000e+02
4 5124     1.424700e+03 3.807500e+02
8 5124     4.635200e+02 1.475200e+02
4 5125     1.066090e+03 4.112100e+02
5 5125     6.665500e+02 8.421700e+02
4 5126     1.415400e+03 4.291400e+02
8 5126     4.426600e+02 2.414900e+02
16 5126     7.298900e+02 4.362200e+02
22 5126     -1.549500e+02 3.034299e+02
26 5126     1.901300e+02 2.687100e+02
4 5127     9.109399e+02 4.684299e+02
5 5127     4.491400e+02 8.972000e+02
21 5127     -8.601001e+01 4.014399e+02
4 5128     -2.518400e+02 4.848101e+02
5 5128     -1.127680e+03 7.012000e+02
7 5128     -1.304560e+03 6.324200e+02
14 5128     -3.090300e+02 4.170100e+02
15 5128     4.600300e+02 3.662400e+02
16 5128     -7.437700e+02 5.168000e+02
19 5128     1.169995e+01 5.719399e+02
30 5128     -6.881800e+02 4.971100e+02
34 5128     -8.520600e+02 4.752900e+02
35 5128     -6.007001e+01 2.854900e+02
36 5128     7.882000e+02 5.125300e+02
4 5129     -6.642004e+01 6.054299e+02
5 5129     -8.996600e+02 9.083300e+02
21 5129     -2.246200e+02 -5.043300e+02
35 5129     9.613000e+01 4.003900e+02
4 5130     -5.787000e+01 6.247300e+02
5 5130     -8.924300e+02 9.361200e+02
14 5130     -1.274700e+02 5.305900e+02
19 5130     3.741300e+02 8.444700e+02
21 5130     -2.404700e+02 -4.949800e+02
4 5131     -5.787000e+01 6.247300e+02
5 5131     -8.924300e+02 9.361200e+02
19 5131     3.741300e+02 8.444700e+02
4 5132     1.301240e+03 2.105100e+02
8 5132     3.006000e+02 -1.428700e+02
4 5133     7.922500e+02 2.308401e+02
9 5133     -4.366700e+02 6.512000e+01
4 5134     -3.200000e+02 2.464399e+02
5 5134     -1.159540e+03 3.562400e+02
19 5134     -1.174100e+02 1.244800e+02
4 5135     7.926001e+02 2.719500e+02
9 5135     -4.404399e+02 1.300000e+02
20 5135     -4.684399e+02 -2.278500e+02
4 5136     1.298380e+03 2.874500e+02
5 5136     9.890300e+02 7.098500e+02
8 5136     2.899399e+02 3.119000e+01
16 5136     7.095000e+02 3.134200e+02
21 5136     7.241003e+01 7.708700e+02
22 5136     -2.145200e+02 1.782400e+02
26 5136     1.635000e+02 1.203100e+02
4 5137     -3.115699e+02 3.120100e+02
5 5137     -1.164320e+03 4.485200e+02
4 5138     1.195900e+03 3.334500e+02
5 5138     8.517700e+02 7.563700e+02
22 5138     -2.928500e+02 2.236500e+02
4 5139     -3.131200e+02 3.706200e+02
5 5139     -1.182390e+03 5.290800e+02
19 5139     -1.025100e+02 3.561799e+02
30 5139     -8.224900e+02 2.524600e+02
35 5139     -1.093100e+02 1.835100e+02
4 5140     1.067410e+03 3.800300e+02
5 5140     6.753800e+02 8.020500e+02
4 5141     9.835601e+02 3.834099e+02
5 5141     5.627200e+02 7.953600e+02
22 5141     -4.664900e+02 2.763000e+02
4 5142     9.817900e+02 3.914600e+02
5 5142     5.607300e+02 8.047200e+02
4 5143     1.068080e+03 4.023201e+02
5 5143     6.713199e+02 8.317900e+02
4 5144     1.428050e+03 4.305300e+02
8 5144     4.666899e+02 2.436600e+02
16 5144     7.399600e+02 4.372200e+02
22 5144     -1.464600e+02 3.034500e+02
26 5144     2.040500e+02 2.684200e+02
4 5145     -2.812000e+02 4.471500e+02
5 5145     -1.156990e+03 6.433900e+02
36 5145     7.490699e+02 4.700500e+02
4 5146     -2.812000e+02 4.471500e+02
5 5146     -1.156990e+03 6.433900e+02
36 5146     7.490699e+02 4.700500e+02
4 5147     9.823799e+02 4.490200e+02
5 5147     5.585400e+02 8.751801e+02
4 5148     9.171299e+02 4.601500e+02
5 5148     4.600601e+02 8.873900e+02
21 5148     -7.846997e+01 4.078600e+02
4 5149     4.666300e+02 4.683101e+02
11 5149     -5.475800e+02 4.339900e+02
14 5149     2.147800e+02 3.342900e+02
26 5149     -9.486500e+02 4.548300e+02
4 5150     -3.221700e+02 4.814900e+02
5 5150     -1.223000e+03 6.822300e+02
15 5150     3.786300e+02 3.617000e+02
16 5150     -8.289100e+02 5.144399e+02
19 5150     -1.171100e+02 5.597200e+02
21 5150     -1.108400e+02 -7.605699e+02
30 5150     -8.362900e+02 4.925601e+02
34 5150     -9.495100e+02 4.779399e+02
35 5150     -1.188700e+02 2.802400e+02
36 5150     7.047900e+02 5.079900e+02
4 5151     -1.700500e+02 6.739200e+02
7 5151     -1.174540e+03 9.187300e+02
21 5151     -2.915100e+02 -6.045400e+02
35 5151     5.979980e+00 4.556799e+02
4 5152     -1.298700e+02 6.757300e+02
7 5152     -1.124940e+03 9.172800e+02
15 5152     5.952400e+02 5.787600e+02
16 5152     -6.164300e+02 7.264000e+02
19 5152     2.368000e+02 9.150000e+02
21 5152     -2.938700e+02 -5.685800e+02
4 5153     1.315140e+03 2.498201e+02
8 5153     3.254900e+02 -5.919000e+01
16 5153     7.202800e+02 2.793300e+02
22 5153     -1.999400e+02 1.431000e+02
4 5154     1.044600e+03 2.529500e+02
5 5154     6.706600e+02 6.341000e+02
4 5155     -2.237700e+02 2.788600e+02
5 5155     -1.038110e+03 4.219099e+02
14 5155     -2.896200e+02 2.309900e+02
16 5155     -7.027300e+02 2.881400e+02
4 5156     1.292820e+03 2.816400e+02
5 5156     9.824700e+02 7.020200e+02
8 5156     2.810900e+02 1.900000e+01
16 5156     7.074700e+02 3.079299e+02
22 5156     -2.177000e+02 1.728500e+02
26 5156     1.603600e+02 1.132000e+02
31 5156     -1.098810e+03 1.871000e+02
4 5157     1.099660e+03 3.113401e+02
5 5157     7.308700e+02 7.161300e+02
4 5158     1.023230e+03 3.158500e+02
5 5158     6.281200e+02 7.139900e+02
22 5158     -4.290500e+02 2.085300e+02
4 5159     1.185530e+03 3.287700e+02
5 5159     8.390400e+02 7.493400e+02
4 5160     1.006180e+03 3.329000e+02
5 5160     6.031500e+02 7.322500e+02
4 5161     -3.144200e+02 3.602800e+02
5 5161     -1.181030e+03 5.142700e+02
19 5161     -1.060900e+02 3.362500e+02
30 5161     -8.253300e+02 2.292600e+02
35 5161     -1.099800e+02 1.741500e+02
4 5162     1.083760e+03 3.657900e+02
5 5162     6.997000e+02 7.855300e+02
4 5163     1.029320e+03 3.676200e+02
5 5163     6.267300e+02 7.812300e+02
4 5164     -2.579600e+02 3.782400e+02
5 5164     -1.108660e+03 5.520500e+02
19 5164     -1.420044e+00 3.741899e+02
30 5164     -7.050200e+02 2.679900e+02
36 5164     7.729700e+02 3.931100e+02
4 5165     9.586399e+02 3.936899e+02
5 5165     5.302000e+02 8.043300e+02
4 5166     1.370900e+02 4.081699e+02
11 5166     -8.995900e+02 3.313600e+02
16 5166     -3.235000e+02 4.306600e+02
19 5166     7.302200e+02 4.213201e+02
20 5166     -1.124730e+03 -6.783997e+01
21 5166     -3.555005e+01 -3.148600e+02
23 5166     -5.785300e+02 -1.640800e+02
4 5167     1.099780e+03 4.223800e+02
5 5167     7.128800e+02 8.579500e+02
4 5168     9.175801e+02 4.746000e+02
5 5168     4.578199e+02 9.070601e+02
4 5169     -2.808400e+02 5.256400e+02
7 5169     -1.358400e+03 7.022700e+02
14 5169     -3.354700e+02 4.556200e+02
15 5169     4.266700e+02 4.111300e+02
19 5169     -4.037000e+01 6.453800e+02
21 5169     -1.520100e+02 -7.175000e+02
30 5169     -7.467000e+02 5.880500e+02
35 5169     -8.497998e+01 3.209000e+02
36 5169     7.562700e+02 5.586899e+02
4 5170     -3.322900e+02 5.921500e+02
5 5170     -1.264300e+03 8.356200e+02
14 5170     -3.834400e+02 5.178600e+02
15 5170     3.687900e+02 4.831700e+02
16 5170     -8.465100e+02 6.409399e+02
19 5170     -1.316600e+02 7.586300e+02
21 5170     -2.184500e+02 -7.697800e+02
36 5170     7.002500e+02 6.310400e+02
4 5171     -8.858997e+01 5.928600e+02
5 5171     -9.290000e+02 8.861899e+02
35 5171     7.692004e+01 3.887100e+02
4 5172     -2.602000e+02 5.973900e+02
5 5172     -1.166430e+03 8.576300e+02
14 5172     -3.139700e+02 5.191100e+02
16 5172     -7.590700e+02 6.444399e+02
35 5172     -6.965002e+01 3.842000e+02
4 5173     -2.602000e+02 5.973900e+02
5 5173     -1.166430e+03 8.576300e+02
7 5173     -1.321930e+03 8.122900e+02
14 5173     -3.139700e+02 5.191100e+02
15 5173     4.503101e+02 4.907600e+02
16 5173     -7.590700e+02 6.444399e+02
19 5173     -2.410034e+00 7.761000e+02
34 5173     -8.561200e+02 6.219500e+02
35 5173     -6.965002e+01 3.842000e+02
36 5173     7.852500e+02 6.395500e+02
4 5174     -4.912000e+01 6.032000e+02
7 5174     -9.741500e+02 7.926200e+02
15 5174     6.950900e+02 5.022200e+02
4 5175     -3.215601e+02 6.132500e+02
5 5175     -1.255340e+03 8.673800e+02
4 5176     1.151680e+03 1.694299e+02
5 5176     8.239900e+02 5.420800e+02
4 5177     -2.842100e+02 2.250901e+02
5 5177     -1.105440e+03 3.345000e+02
19 5177     -5.352002e+01 8.591992e+01
36 5177     7.307200e+02 2.223600e+02
4 5178     -2.855100e+02 2.299299e+02
5 5178     -1.109010e+03 3.408201e+02
4 5179     1.205660e+03 2.512500e+02
5 5179     8.791299e+02 6.532700e+02
8 5179     1.070400e+02 -3.112000e+01
4 5180     1.045130e+03 2.753700e+02
5 5180     6.662900e+02 6.619700e+02
4 5181     1.207510e+03 2.866400e+02
5 5181     8.747300e+02 6.979600e+02
8 5181     1.083101e+02 5.308002e+01
4 5182     1.169070e+03 2.916000e+02
5 5182     8.252600e+02 6.995601e+02
4 5183     -3.223900e+02 2.974600e+02
5 5183     -1.175780e+03 4.260100e+02
19 5183     -1.206801e+02 2.203500e+02
30 5183     -8.447700e+02 9.410999e+01
34 5183     -9.617200e+02 2.364800e+02
4 5184     -3.312600e+02 3.211599e+02
5 5184     -1.192270e+03 4.576200e+02
4 5185     1.047910e+03 3.271200e+02
5 5185     6.599800e+02 7.309399e+02
4 5186     1.024000e+03 3.396500e+02
5 5186     6.253800e+02 7.434500e+02
22 5186     -4.296500e+02 2.323800e+02
4 5187     1.049590e+03 3.425000e+02
5 5187     6.587000e+02 7.502200e+02
22 5187     -4.092100e+02 2.345601e+02
4 5188     1.129610e+03 3.603500e+02
5 5188     7.587200e+02 7.841600e+02
4 5189     1.384940e+03 3.717400e+02
5 5189     1.091630e+03 8.108600e+02
8 5189     3.958400e+02 1.342400e+02
4 5190     -3.295200e+02 3.822200e+02
5 5190     -1.206160e+03 5.420000e+02
4 5191     1.273850e+03 3.972400e+02
8 5191     2.243101e+02 2.598300e+02
4 5192     9.534299e+02 4.141100e+02
5 5192     5.208101e+02 8.309299e+02
4 5193     -3.651801e+02 4.233301e+02
5 5193     -1.264470e+03 5.906100e+02
30 5193     -9.282800e+02 3.672400e+02
35 5193     -1.519900e+02 2.274600e+02
4 5194     -3.514100e+02 4.355701e+02
5 5194     -1.250200e+03 6.119000e+02
15 5194     3.446100e+02 3.106400e+02
16 5194     -8.627000e+02 4.624299e+02
21 5194     -6.639001e+01 -7.915601e+02
34 5194     -9.933400e+02 4.207900e+02
35 5194     -1.418200e+02 2.390500e+02
36 5194     6.681899e+02 4.569700e+02
4 5195     -3.388900e+02 4.358101e+02
5 5195     -1.234170e+03 6.143000e+02
30 5195     -8.744900e+02 3.940701e+02
34 5195     -9.768100e+02 4.199700e+02
35 5195     -1.321200e+02 2.397900e+02
36 5195     6.817200e+02 4.571600e+02
4 5196     -1.375300e+02 4.439000e+02
5 5196     -9.611600e+02 6.690701e+02
4 5197     -3.603101e+02 4.438700e+02
5 5197     -1.264850e+03 6.210500e+02
15 5197     3.339500e+02 3.199000e+02
16 5197     -8.737900e+02 4.719399e+02
30 5197     -9.181600e+02 4.121000e+02
35 5197     -1.497900e+02 2.458200e+02
36 5197     6.578101e+02 4.657900e+02
4 5198     -2.620699e+02 4.525500e+02
7 5198     -1.320970e+03 5.825400e+02
16 5198     -7.546100e+02 4.820200e+02
19 5198     -8.319946e+00 5.103600e+02
30 5198     -7.097300e+02 4.284700e+02
35 5198     -6.779999e+01 2.571000e+02
4 5199     -1.863500e+02 4.562400e+02
5 5199     -1.030970e+03 6.757300e+02
34 5199     -7.649000e+02 4.328600e+02
4 5200     4.079100e+02 4.580801e+02
9 5200     -1.398520e+03 5.018201e+02
11 5200     -6.933200e+02 4.212400e+02
14 5200     1.603900e+02 3.252900e+02
20 5200     -9.793300e+02 -1.671997e+01
23 5200     -4.945000e+02 -1.288400e+02
24 5200     -9.225400e+02 1.410100e+02
32 5200     -8.420200e+02 3.500400e+02
4 5201     -3.164900e+02 4.708500e+02
5 5201     -1.211650e+03 6.681899e+02
19 5201     -1.065800e+02 5.404199e+02
21 5201     -9.968005e+01 -7.554900e+02
30 5201     -8.244700e+02 4.693000e+02
34 5201     -9.419600e+02 4.633400e+02
35 5201     -1.136400e+02 2.712100e+02
36 5201     7.108400e+02 4.960400e+02
4 5202     4.509700e+02 4.824000e+02
10 5202     -8.899500e+02 -1.674000e+02
16 5202     -4.648999e+01 5.025400e+02
19 5202     1.251740e+03 5.147200e+02
24 5202     -8.658300e+02 1.606200e+02
4 5203     -2.727300e+02 4.857800e+02
7 5203     -1.342200e+03 6.363101e+02
4 5204     9.284199e+02 4.893800e+02
5 5204     4.700500e+02 9.268800e+02
4 5205     -2.552000e+02 4.995601e+02
5 5205     -1.135880e+03 7.221500e+02
4 5206     -3.081400e+02 5.661899e+02
5 5206     -1.225460e+03 8.036600e+02
19 5206     -8.756006e+01 7.164299e+02
4 5207     -2.398000e+02 5.670200e+02
5 5207     -1.131440e+03 8.189900e+02
7 5207     -1.286020e+03 7.616300e+02
14 5207     -2.957700e+02 4.909500e+02
15 5207     4.742900e+02 4.577800e+02
16 5207     -7.338600e+02 6.097800e+02
19 5207     3.456995e+01 7.232600e+02
34 5207     -8.300700e+02 5.809100e+02
35 5207     -5.206000e+01 3.585100e+02
36 5207     8.074900e+02 6.059399e+02
4 5208     -7.760010e+00 5.690400e+02
7 5208     -9.155000e+02 7.360100e+02
14 5208     -8.712000e+01 4.756700e+02
15 5208     7.415200e+02 4.638900e+02
19 5208     4.681000e+02 7.386000e+02
34 5208     -5.248600e+02 5.537400e+02
35 5208     1.493101e+02 3.714500e+02
4 5209     2.843994e+01 5.709800e+02
5 5209     -7.545500e+02 8.768800e+02
4 5210     -1.136801e+02 5.765900e+02
7 5210     -1.073980e+03 7.606899e+02
16 5210     -5.885400e+02 6.179700e+02
4 5211     1.978003e+01 5.988700e+02
7 5211     -8.789700e+02 7.775200e+02
14 5211     -6.389999e+01 4.984600e+02
15 5211     7.714800e+02 4.984500e+02
16 5211     -4.416400e+02 6.380500e+02
19 5211     5.192600e+02 7.932100e+02
34 5211     -4.867300e+02 5.858201e+02
4 5212     1.248999e+01 6.092000e+02
7 5212     -8.902300e+02 7.942700e+02
14 5212     -7.082999e+01 5.078300e+02
15 5212     7.633700e+02 5.096700e+02
19 5212     5.041600e+02 8.110000e+02
4 5213     -1.158600e+02 7.237600e+02
7 5213     -1.121750e+03 9.888501e+02
14 5213     -1.919600e+02 6.076700e+02
15 5213     6.059600e+02 6.316400e+02
19 5213     2.613900e+02 9.893799e+02
21 5213     -3.421200e+02 -5.582600e+02
4 5214     1.117680e+03 1.840400e+02
5 5214     7.791799e+02 5.557200e+02
4 5215     4.856006e+01 2.053301e+02
11 5215     -9.469600e+02 -6.235999e+01
16 5215     -3.999800e+02 2.136500e+02
4 5216     1.159780e+03 2.221400e+02
5 5216     8.259700e+02 6.091400e+02
4 5217     -2.100300e+02 2.411300e+02
7 5217     -1.221990e+03 2.462100e+02
14 5217     -2.743600e+02 1.963500e+02
15 5217     5.061100e+02 9.303998e+01
19 5217     8.571997e+01 1.196200e+02
30 5217     -6.122700e+02 -3.056000e+01
36 5217     8.213400e+02 2.376100e+02
4 5218     1.085020e+03 2.443000e+02
5 5218     7.255699e+02 6.286899e+02
4 5219     1.205640e+03 2.461799e+02
5 5219     8.800100e+02 6.461300e+02
8 5219     1.072400e+02 -4.278998e+01
4 5220     1.318130e+03 2.575801e+02
8 5220     3.298600e+02 -4.128003e+01
4 5221     1.486790e+03 2.597000e+02
5 5221     1.195770e+03 7.292500e+02
8 5221     8.238900e+02 5.803003e+01
16 5221     9.653600e+02 2.938500e+02
4 5222     -1.450200e+02 2.730000e+02
7 5222     -1.116350e+03 2.945400e+02
14 5222     -2.143800e+02 2.226500e+02
30 5222     -4.705700e+02 3.712000e+01
4 5223     -1.451000e+02 2.791300e+02
7 5223     -1.116360e+03 3.040200e+02
14 5223     -2.141400e+02 2.283400e+02
15 5223     5.823600e+02 1.355100e+02
16 5223     -6.097300e+02 2.897800e+02
19 5223     2.092100e+02 1.927000e+02
30 5223     -4.703300e+02 5.053003e+01
4 5224     1.026440e+03 3.099000e+02
5 5224     6.340100e+02 7.057100e+02
4 5225     -2.120500e+02 3.104099e+02
5 5225     -1.032120e+03 4.679299e+02
19 5225     8.358997e+01 2.513900e+02
4 5226     -2.044800e+02 3.134000e+02
5 5226     -1.021650e+03 4.742000e+02
30 5226     -5.971300e+02 1.265000e+02
4 5227     1.043950e+03 3.170300e+02
5 5227     6.569500e+02 7.170800e+02
